Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
Sangre de Toro,35,"['en:france', 'en:spain', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Vin,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Cabernet Sauvignon &quot;Tarani&quot; 2015,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Muscat de Beaumes de Venise,48,['en:france'],Boissons,Boissons alcoolisées,Snacks,Snacks salés,Vins,Amuse-gueules,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins français,Muscats,Muscat de Beaumes-de-Venise,,,,,
Champagne Alfred Rothschild et Cie brut,45,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
Vino blanco don simon,23,"['en:france', 'en:spain']",Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Clairette de Die,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Clairette de Die,,,,,,,,,,,
Autrement,57,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,IGP PAYS D'OC,,,,,,,,,,,
Chateau Montaurone Rosé 2010 75cl,62,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Coteaux d'Aix-en-Provence,,,,,,,,,,,
Côtes du Rhône 2014,44,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,,,,,,,,,,,
costieres de Nîmes rosé,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,,,,,,,,,,,,
Rosé,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Côtes de Thongue,,,,,,,,,,,
Panache de Cyrano 2015,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Côtes de Bergerac,Vins moelleux,,,,,,,,,,
Cotes du rhone village,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
Vin Grenache Pays d'Oc IGP Les Ormes de Cambras,46,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc,Vin Grenache,Vin Grenache Pays d'Oc IGP,Vin IGP,,,,,,,,,
Vin bordeau hausseman 2014,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
"Champagne AOP, brut",36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Champagnes bruts,,,,,,,,,,,
Valrian,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vin sans indication géographique,,,,,,,,,,,,,
Corse 2018,38,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Ventoux 2017,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Ventoux,,,,,,,,,,,,
Côtes du Rhône Villages 2016,31,"['en:france', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,Côtes du Rhône Villages,French red wine,,,,,,,,,
Romanetti Bianco,23,"['en:france', 'en:portugal']",Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Autrement,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,IGP PAYS D'OC,,,,,,,,,,,
"Bollinger Spécial Cuvée Brut 75 cl, 1 Bouteille",,"['en:france', 'en:germany', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,,,,,,,,,,,,,
,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Champagnes bruts,,,,,,,,,,,
Vin Rosé AOC d'anjou Les Hauts Buis,39,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,,,,,,,,,,,,
Champagne Brut Premier,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
